职称 地区 公司资质 要求 薪资 福利
python后台开发工程师 上海-嘉定区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 年终奖金 周末双休 节日福利 "
Python开发工程师 深圳-龙华区 "外资（非欧美） " " 大专  3-4年" 0.6-1.2万/月 " 五险一金 专业培训 绩效奖金 年终奖金 "
Python开发工程师 北京-昌平区 "创业公司 " " 本科  3-4年" 0.8-1.5万/月 " 绩效奖金 节日福利 弹性工作 专业培训 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  5-7年" 1.2-1.8万/月 " 五险一金 绩效奖金 股票期权 弹性工作 "
Python软件工程师 深圳-龙华区 "民营公司 " " 本科  2年" 1.2-2万/月 " 五险一金 员工旅游 餐饮补贴 定期体检 "
"后台开发工程师/ Python 开发工程师" 上海-普陀区 "民营公司 " " 大专  2年" 1-1.5万/月 " 做五休二 带薪年假 五险一金 交通补贴 "
Python开发工程师 上海-虹口区 "民营公司 " " 本科  1年" 1.2-2万/月 " 五险一金 补充医疗保险 员工旅游 专业培训 "
Python开发工程师 上海-嘉定区 "民营公司 " " 本科  3-4年" 0.8-1.3万/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
Python开发工程师（RPA方向） 深圳-南山区 "民营公司 " " 本科  1年" 0.7-1.4万/月 " "
Python开发工程师 北京-昌平区 "上市公司 " " 本科  3-4年" 1-2万/月 " "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 1.1-1.5万/月 " 五险一金 员工旅游 专业培训 出国机会 "
Python开发工程师 广州-越秀区 "民营公司 " " 大专  2年" 1-1.5万/月 " 带薪年假 五险一金 节日福利 工作氛围轻松 "
Python开发 深圳-福田区 "民营公司 " " 本科  1年" 1-2万/月 " 五险一金 弹性工作 定期体检 年终奖金 "
"python 开发工程师" 上海-浦东新区 "创业公司 " " 本科  2年" 1.2-1.6万/月 " 做五休二 周末双休 五险一金 午餐福利 "
Python开发工程师 广州-海珠区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " "
web开发/python开发 深圳-宝安区 "外资（欧美） " " 本科  无需经验" 1-1.5万/月 " 五险一金 员工旅游 年终奖金 周末双休 "
Python开发工程师 上海-闵行区 "民营公司 " " 大专  1年" 0.7-1.2万/月 " 绩效奖金 餐饮补贴 周末双休 做五休二 "
Python开发工程师（上海）[J498908] 上海-浦东新区 "民营公司 " " 本科  2年" 1-1.5万/月 " "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  2年" 0.9-1.5万/月 " 五险一金 年终奖金 员工旅游 "
Python开发工程师 北京-海淀区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 年终奖金 弹性工作 员工旅游 "
Python开发工程师 上海-长宁区 "上市公司 " " 本科  2年" 1.2-2.4万/月 " 五险一金 补充医疗保险 补充公积金 餐饮补贴 "
Python工程师 上海-长宁区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " "
Python开发工程师 上海-闵行区 "民营公司 " " 本科  1年" 1-2万/月 " 五险一金 绩效奖金 年终奖金 "
Python开发工程师 广州-天河区 "民营公司 " " 大专  3-4年" 1.2-1.7万/月 " 五险一金 定期体检 通讯补贴 绩效奖金 "
python开发工程师（爬虫方向） 广州-海珠区 "民营公司 " " 大专  3-4年" 1.3-1.8万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
Python开发工程师 广州-白云区 "创业公司 " " 本科  3-4年" 1.2-2万/月 " 周末双休 节日福利 五险一金 发展前景好 "
"Python 软件开发工程师" 广州-越秀区 "民营公司 " " 本科  3-4年" 0.6-1.5万/月 " 五险一金 弹性工作 专业培训 绩效奖金 "
Python开发工程师 上海-青浦区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " 五险一金 带薪年假 补充医疗保险 专业培训 "
Python开发工程师 上海-浦东新区 "上市公司 " " 本科  2年" 0.8-1.5万/月 " 做五休二 周末双休 带薪年假 五险一金 "
Python开发工程师 广州-海珠区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " 五险一金 交通补贴 年终奖金 员工旅游 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 带薪年假 绩效奖金 节日福利 "
Python工程师 上海-徐汇区 "外资（非欧美） " " 本科  1年" 15-25万/年 " 五险一金 补充医疗保险 员工旅游 餐饮补贴 "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  3-4年" 1.2-2万/月 " "
Python中级开发 北京-海淀区 "民营公司 " " 本科  2年" 0.7-1.2万/月 " 五险一金 定期体检 专业培训 交通补贴 "
Python开发工程师 深圳-龙岗区 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 "
Python开发工程师 广州-黄埔区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " 周末双休 绩效奖金 节日福利 弹性工作 "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 1-2万/月 " 五险一金 通讯补贴 股票期权 弹性工作 "
Python后端工程师 上海-浦东新区 "民营公司 " " 本科  1年" 1-2万/月 " 五险一金 年终奖金 定期体检 交通补贴 "
Python 上海-浦东新区 "民营公司 " " 本科  1年" 1-2万/月 " "
Python开发工程师 上海-徐汇区 "外资（非欧美） " " 大专  3-4年" 1.1-1.5万/月 " 五险一金 补充公积金 绩效奖金 年终奖金 "
Python开发工程师 上海 "民营公司 " " 本科  2年" 1.2-1.5万/月 " 五险一金 员工旅游 专业培训 周末双休 "
Python开发工程师 上海 "民营公司 " " 本科  1年" 1-2万/月 " 五险一金 补充医疗保险 补充公积金 交通补贴 "
Python大数据开发工程师 深圳-南山区 "外资（非欧美） " " 本科  3-4年" 1-1.5万/月 " "
"python/C#, .net软件工程师" 广州-白云区 "民营公司 " " 本科  2年" 0.7-1.4万/月 " 专业培训 绩效奖金 全勤奖 节日福利 "
python爬虫工程师 深圳-宝安区 "合资 " " 大专  2年" 0.8-1.6万/月 " 周末双休 带薪年假 五险一金 绩效奖金 "
Python开发工程师 深圳-宝安区 "民营公司 " " 大专  3-4年" 0.9-1.5万/月 " 五险一金 周末双休 法定节日休息 "
Python开发工程师 深圳-南山区 "民营公司 " " 3-4年" 0.8-1.3万/月 " 五险一金 交通补贴 餐饮补贴 绩效奖金 "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 员工旅游 专业培训 补充医疗保险 "
Python开发工程师 上海-闵行区 "民营公司 " " 本科  2年" 1.1-2万/月 " "
"Python开发工程师（RPA） (MJ000106)" 广州-番禺区 "民营公司 " " 本科  3-4年" 0.8-1.2万/月 " 五险一金 定期体检 年终奖金 节日福利 "
Python后端开发工程师 广州-黄埔区 "外资（欧美） " " 大专  2年" 0.7-1.5万/月 " "
Python开发工程师 深圳 "民营公司 " " 大专  3-4年" 1.2-1.8万/月 " "
Python开发工程师 上海-徐汇区 "民营公司 " " 本科  1年" 1-1.5万/月 " 做五休二 周末双休 五险一金 节日福利 "
Python工程师 北京-朝阳区 "民营公司 " " 本科  1年" 1-2万/月 " 五险一金 绩效奖金 年终奖金 带薪年假 "
数据开发工程师/java/python数据工程师（辞书出版社） 上海 "事业单位 " " 本科  无需经验" 1-1.5万/月 " "
Python开发工程师 广州-番禺区 "民营公司 " " 3-4年" 1-1.5万/月 " 年终奖金 绩效奖金 股票期权 社保和商业险 "
后端软件工程师（python/java) 深圳 "民营公司 " " 本科  3-4年" 1.2-1.8万/月 " 五险一金 出国机会 年终奖金 员工旅游 "
软件研发工程师Python（外派） 北京-海淀区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 定期体检 定期团建 周末双休 "
Python开发工程师 深圳-福田区 "上市公司 " " 本科  2年" 1.1-2万/月 " 五险一金 补充医疗保险 员工旅游 餐饮补贴 "
Python开发工程师 上海-浦东新区 "民营公司 " " 大专  2年" 1-1.5万/月 " "
Python数据挖掘工程师 上海-徐汇区 "民营公司 " " 大专  1年" 0.6-1.2万/月 " 五险一金 定期体检 绩效奖金 年终奖金 "
高级软件工程师(Python) 深圳 "外资（非欧美） " " 本科  5-7年" 1.2-2万/月 " 五险一金 绩效奖金 员工旅游 "
Python开发工程师（上海） 上海-浦东新区 "国企 " " 本科  2年" 1.2-2.2万/月 " 五险一金 补充医疗保险 补充公积金 交通补贴 "
Python开发工程师 北京-海淀区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 餐饮补贴 年终奖金 绩效奖金 "
Python开发工程师 深圳-龙岗区 "民营公司 " " 大专  2年" 0.8-1.5万/月 " 五险一金 员工旅游 交通补贴 专业培训 "
python开发工程师（中级） 广州-天河区 "民营公司 " " 大专  3-4年" 1-2万/月 " 五险一金 弹性工作 定期体检 年终奖金 "
Python爬虫工程师 广州-天河区 "民营公司 " " 大专  1年" 0.7-1.5万/月 " 五险一金 补充医疗保险 补充公积金 带薪年假 "
Python开发工程师 深圳 "民营公司 " " 大专  3-4年" 1.2-1.6万/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
"大数据开发工程师 (Spark/Python)" 广州-天河区 "国企 " " 本科  3-4年" 1.3-2.3万/月 " 五险一金 专业培训 绩效奖金 年终奖金 "
"python 高级工程师" 上海-浦东新区 "创业公司 " " 本科  2年" 1.2-1.5万/月 " 五险一金 弹性工作 补充公积金 定期体检 "
人工智能研究院-初级python开发工程师 北京-朝阳区 "民营公司 " " 本科  1年" 1-1.5万/月 " 六险一金 餐饮补贴 通讯补贴 交通补贴 "
Python开发工程师 广州 "上市公司 " " 本科  3-4年" 1-1.8万/月 " 五险一金 免费班车 员工旅游 餐饮补贴 "
Python开发工程师 北京 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 定期体检 年终奖金 节日福利 "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  3-4年" 1.4-1.8万/月 " 五险一金 全勤奖 专业培训 员工旅游 "
Python/C/C++/GO（北京） 北京-朝阳区 "民营公司 " " 本科  2年" 1.3-2.5万/月 " 五险一金 通讯补贴 绩效奖金 定期体检 "
RPA开发工程师（python） 上海-宝山区 "民营公司 " " 本科  3-4年" 1.2-1.8万/月 " 绩效奖金 五险一金 交通补贴 餐饮补贴 "
Python高级开发工程师 广州-天河区 "民营公司 " " 2年" 1-2万/月 " 周末双休 带薪年假 餐饮补贴 绩效奖金 "
Python开发工程师 上海 "民营公司 " " 大专  3-4年" 1.2-2.4万/月 " 五险一金 弹性工作 员工旅游 交通补贴 "
C++/Python软件工程师 上海-浦东新区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 免费班车 定期体检 年终奖金 "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  3-4年" 1.1-1.8万/月 " 五险一金 绩效奖金 年终奖金 股票期权 "
python爬虫工程师 上海 "民营公司 " " 大专  2年" 0.9-1.5万/月 " 五险一金 通讯补贴 年终奖金 绩效奖金 "
Python软件工程师 上海-徐汇区 "合资 " " 大专  3-4年" 1-1.5万/月 " 五险一金 员工旅游 定期体检 弹性工作 "
Python高级开发工程师 广州 "外资（非欧美） " " 本科  5-7年" 1-1.5万/月 " 周末双休 带薪年假 五险一金 专业培训 "
Python开发工程师 深圳 "民营公司 " " 本科  1年" 1.2-1.8万/月 " 五险一金 补充医疗保险 交通补贴 年终奖金 "
Python数据爬虫工程师 北京-海淀区 "民营公司 " " 本科  2年" 1.2-1.5万/月 " 五险一金 员工旅游 餐饮补贴 绩效奖金 "
Python开发工程师 北京 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 通讯补贴 年终奖金 私产公用补贴 "
Python软件开发工程师 北京-石景山区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 餐饮补贴 绩效奖金 带薪年假 "
Python高级开发工程师 上海 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 定期体检 员工旅游 餐饮补贴 通讯补贴 "
Python开发工程师 广州 "民营公司 " " 本科  2年" 1-2万/月 " 五险一金 员工旅游 年终奖金 定期体检 "
zy0145-Python/GO开发工程师 上海-浦东新区 "国企 " " 本科  2年" 1.2-2.4万/月 " 五险一金 补充医疗保险 餐饮补贴 通讯补贴 "
Python开发工程师（RPA方向） 上海-杨浦区 "合资 " " 本科  2年" 0.9-1.8万/月 " "
Python开发工程师 上海-徐汇区 "合资 " " 本科  3-4年" 1-1.5万/月 " "
Python开发工程师（北京研发中心） 北京 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 交通补贴 通讯补贴 年终奖金 "
python开发工程师(J13476) 上海-嘉定区 "外资（欧美） " " 本科  1年" 1-2万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python高级工程师/工程师 广州 "民营公司 " " 本科  2年" 1.2-1.8万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
"供应链Python开发Performance Data Officer" 上海-闵行区 "合资 " " 本科  3-4年" 1-1.8万/月 " 餐饮补贴 专业培训 五险一金 弹性工作 "
Python开发工程师 上海-徐汇区 "国企 " " 本科  3-4年" 12-24万/年 " 五险一金 补充医疗保险 补充公积金 通讯补贴 "
金融软件工程师(Python） 上海-浦东新区 "合资 " " 大专  2年" 0.8-1.6万/月 " 五险一金 年终奖金 绩效奖金 专业培训 "
Python数据工程师 深圳-龙岗区 "外企代表处 " " 大专  2年" 1-1.5万/月 " "
Python全栈开发 广州-黄埔区 "民营公司 " " 本科  2年" 0.6-1.2万/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
"软件开发工程师 python/C#/js" 上海-徐汇区 "民营公司 " " 本科  3-4年" 18-36万/年 " 五险一金 补充医疗保险 员工旅游 定期体检 "
java/python开发工程师 上海-闵行区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " 提供食宿 五险一金 专业培训 绩效奖金 "
Python爬虫工程师 广州-荔湾区 "民营公司 " " 大专  2年" 0.8-1.5万/月 " 五险一金 全勤奖 餐饮补贴 专业培训 "
Python爬虫工程师 广州-天河区 "民营公司 " " 本科  2年" 0.8-1.5万/月 " 餐饮补贴 弹性工作 五险 带薪年假 "
Python开发工程师 上海-青浦区 "民营公司 " " 大专  1年" 0.8-1.5万/月 " 五险一金 补充医疗保险 员工旅游 餐饮补贴 "
Python后端软件工程师 上海-静安区 "民营公司 " " 本科  5-7年" 1.3-2万/月 " 五险一金 绩效奖金 弹性工作 生日福利 "
Python开发工程师 上海-闵行区 "民营公司 " " 大专  2年" 0.8-1.1万/月 " 绩效奖金 节日福利 上市公司 专业培训 "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  3-4年" 1.2-2万/月 " 五险一金 补充医疗保险 员工旅游 餐饮补贴 "
Python后台开发 广州-天河区 "创业公司 " " 大专  2年" 0.8-1.2万/月 " "
Python开发工程师 上海 "上市公司 " " 本科  2年" 1-1.5万/月 " 五险一金 定期体检 餐饮补贴 年终奖金 "
Python开发工程师（区块链量化） 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.2-1.8万/月 " 五险一金 员工旅游 弹性工作 年终奖金 "
Python开发工程师 上海-闵行区 "民营公司 " " 本科  3-4年" 1-2万/月 " 五险一金 年终奖金 做五休二 带薪年假 "
python开发工程师(J13008) 上海-徐汇区 "民营公司 " " 本科  2年" 1-1.5万/月 " "
Python课程研发人员 上海-浦东新区 "民营公司 " " 本科  1年" 1-1.5万/月 " 五险一金 年终奖金 出国机会 交通补贴 "
Python/Odoo开发工程师 上海-静安区 "合资 " " 本科  3-4年" 0.9-1.5万/月 " 五险一金 员工旅游 定期体检 年底双薪 "
服务端软件工程师(Python）（BG） 上海-长宁区 "民营公司 " " 大专  2年" 1.3-2万/月 " "
python数据工程师 上海-宝山区 "民营公司 " " 本科  2年" 0.8-1.5万/月 " 五险一金 员工旅游 餐饮补贴 专业培训 "
Python开发工程师 深圳-宝安区 "上市公司 " " 大专  3-4年" 1-1.6万/月 " 五险一金 员工旅游 员工宿舍 带薪年假 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  1年" 1-1.5万/月 " 五险一金 绩效奖金 年终奖金 定期体检 "
Python开发工程师（提供食宿） 深圳-福田区 "民营公司 " " 本科  无需经验" 1-1.8万/月 " 周末双休 带薪年假 包吃 包住宿 "
38663-python后台开发工程师 上海-黄浦区 "民营公司 " " 本科  3-4年"  " "
Python/Odoo开发工程师 上海 "创业公司 " " 大专  2年" 0.8-1.5万/月 " 员工旅游 五险一金 弹性工作 "
Python开发工程师 深圳-宝安区 "合资 " " 大专  1年" 1-2万/月 " 包吃包住 五险一金 专业培训 年终奖金 "
python开发工程师 上海-松江区 "外资（非欧美） " " 本科  3-4年" 15-20万/年 " 五险一金 免费班车 员工旅游 餐饮补贴 "
软件工程师（C++/Python/go/lua） 广州-天河区 "民营公司 " " 大专  2年" 0.8-1.3万/月 " 五险一金 员工旅游 专业培训 绩效奖金 "
python工程师 上海-松江区 "民营公司 " " 本科  3-4年" 0.8-2万/月 " 五险一金 员工旅游 餐饮补贴 年终奖金 "
C/C++、Python工程师（8K-12K) 广州-天河区 "民营公司 " " 本科  1年" 0.8-1.2万/月 " 绩效奖金 带薪年假 定期体检 出国机会 "
Python/PHP后端程序员 上海-徐汇区 "合资 " " 大专  3-4年" 1-1.5万/月 " 五险一金 餐饮补贴 弹性工作 绩效奖金 "
python后端开发工程师 深圳-福田区 "民营公司 " " 本科  2年" 0.9-1.8万/月 " 做五休二 带薪年假 五险一金 节日福利 "
高级python工程师 北京-海淀区 "民营公司 " " 大专  2年" 0.8-1.5万/月 " 五险一金 周末双休 加班补贴 带薪年假 "
Python开发工程师 上海-宝山区 "民营公司 " " 本科  2年" 1-1.5万/月 " 做五休二 带薪年假 五险一金 绩效奖金 "
Python开发工程师 上海-嘉定区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 "
Python开发工程师 上海 "外资（欧美） " " 本科  3-4年" 1-2万/月 " "
Python开发工程师-北京 北京-海淀区 "上市公司 " " 本科  1年" 1-2万/月 " 五险一金 年终奖金 定期体检 弹性工作 "
Python开发工程师 深圳-福田区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
Python/Django后端软件工程师 上海-长宁区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 年终奖金 绩效奖金 专业培训 "
Python开发工程师 广州-天河区 "民营公司 " " 本科  1年" 0.6-1.2万/月 " 周末双休 五险一金 节日福利 专业培训 "
Python爬虫 上海-徐汇区 "民营公司 " " 大专  2年" 1-1.5万/月 " 节日福利 五险一金 绩效奖金 "
Python爬虫工程师 上海-浦东新区 "外资（欧美） " " 本科  1年" 1-2万/月 " 五险一金 弹性工作 专业培训 出国机会 "
编程/Scratch/Python老师（上市平台） 深圳-龙岗区 "民营公司 " " 本科  1年" 1-1.5万/月 " 五险一金 餐饮补贴 绩效奖金 股票期权 "
Python高级开发工程师 武汉-江汉区 "民营公司 " " 本科  3-4年" 0.9-1.3万/月 " 绩效奖金 年终奖金 交通补贴 五险 "
"Python软件工程师/Python Software Engineer" 南京-秦淮区 "外资（非欧美） " " 本科  3-4年" 1.2-2.4万/月 " 五险一金 专业培训 餐饮补贴 年终奖金 "
Python开发工程师 常州-新北区 "民营公司 " " 本科  无需经验" 1.2-1.8万/月 " 五险一金 员工旅游 餐饮补贴 专业培训 "
Python开发工程师（中高级） 西安-高新技术产业开发区 "民营公司 " " 本科  3-4年" 0.8-1.5万/月 " 五险一金 弹性工作 员工旅游 股票期权 "
Python开发工程师 大连-高新园区 "外资（非欧美） " " 大专  3-4年" 0.7-1.2万/月 " "
python后端开发工程师 苏州-工业园区 "民营公司 " " 本科  1年" 0.8-1.5万/月 " 五险一金 专业培训 弹性工作 绩效奖金 "
Python工程师 杭州-西湖区 "上市公司 " " 本科  3-4年" 1.3-1.8万/月 " "
Python高级开发工程师 杭州 "民营公司 " " 本科  5-7年" 15-30万/年 " 五险一金 补充公积金 员工旅游 交通补贴 "
python爬虫工程师 武汉-洪山区 "上市公司 " " 本科  2年" 0.9-1.5万/月 " 周末双休 带薪年假 五险一金 节日福利 "
python爬虫工程师 武汉 "上市公司 " " 本科  2年" 1-1.5万/月 " 五险一金 专业培训 年终奖金 法定假期 "
Python开发工程师 杭州-滨江区 "民营公司 " " 本科  2年" 0.8-1.2万/月 " 社会保险 标准工时 生日福利 定期体检 "
Python开发工程师 杭州-滨江区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 补充公积金 免费班车 员工旅游 "
Python工程师 济南-高新区 "国企 " " 本科  2年" 1-1.5万/月 " 五险一金 年终奖金 绩效奖金 专业培训 "
Python开发工程师 南京-鼓楼区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python初级开发工程师（DX4dk）(J13046) 重庆 "上市公司 " " 本科  1年" 0.8-1.4万/月 " 五险一金 年终奖金 定期体检 专业培训 "
Python开发工程师 西安-雁塔区 "民营公司 " " 本科  1年" 1-1.5万/月 " "
Python开发工程师 成都-武侯区 "民营公司 " " 本科  3-4年" 0.8-1.3万/月 " 周末双休 带薪年假 五险一金 "
Python开发工程师-CDITS02 成都-武侯区 "民营公司 " " 本科  3-4年" 0.8-1.5万/月 " 弹性工作 通讯补贴 绩效奖金 员工旅游 "
Python开发工程师 无锡-无锡新区 "外资（欧美） " " 本科  1年" 1-1.5万/月 " "
Python开发工程师 无锡-滨湖区 "民营公司 " " 本科  2年" 0.8-1.5万/月 " 周末双休 带薪年假 五险一金 节日福利 "
Python开发工程师 苏州-工业园区 "外资（非欧美） " " 大专  3-4年" 1.2-1.7万/月 " 五险一金 餐饮补贴 绩效奖金 年终奖金 "
Python开发工程师 南京-江宁区 "合资 " " 本科  3-4年" 1-2万/月 " 五险一金 定期体检 绩效奖金 交通补贴 "
Python开发工程师 杭州-余杭区 "民营公司 " " 本科  3-4年" 1-1.8万/月 " "
Python开发工程师 济南-高新区 "民营公司 " " 本科  无需经验" 0.6-1.2万/月 " 五险一金 交通补贴 通讯补贴 专业培训 "
开发工程师Python 杭州-江干区 "民营公司 " " 本科  2年" 0.6-1.4万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
"Python开发工程师 (MJ001078)" 长沙-开福区 "上市公司 " " 大专  3-4年" 0.8-1.5万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
Python开发工程师 郑州 "民营公司 " " 大专  2年" 0.7-1.2万/月 " 五险一金 绩效奖金 年终奖金 定期体检 "
python工程师 南京-栖霞区 "民营公司 " " 本科  2年" 1-1.5万/月 " 周末双休 五险一金 员工旅游 专业培训 "
python后端开发工程师 成都-锦江区 "国企 " " 本科  1年" 1-1.2万/月 " 五险一金 商业意外保险 企业年金 绩效奖金 "
Python开发工程师 武汉 "上市公司 " " 本科  3-4年" 1.3-1.6万/月 " 五险一金 免费班车 员工旅游 餐饮补贴 "
Python开发工程师 南京-建邺区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python开发工程师 杭州-钱塘区 "合资 " " 本科  无需经验" 0.8-1.3万/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
Python开发工程师 东莞-东城区 "创业公司 " " 本科  1年" 0.8-1.5万/月 " 绩效奖金 年终奖金 交通补贴 餐饮补贴 "
Python软件工程师 武汉-洪山区 "上市公司 " " 本科  1年" 0.8-1.2万/月 " 做五休二 周末双休 带薪年假 五险一金 "
Python开发工程师 天津-滨海新区 "民营公司 " " 本科  1年" 1.2-2万/月 " 五险一金 补充医疗保险 餐饮补贴 专业培训 "
Python开发工程师 武汉-汉阳区 "民营公司 " " 大专  3-4年" 1-1.8万/月 " 年终奖金 绩效奖金 员工旅游 包两餐 "
Python高级开发工程师 苏州 "民营公司 " " 大专  3-4年" 0.9-1.5万/月 " 员工旅游 餐饮补贴 绩效奖金 年终奖金 "
Python开发工程师 天津-西青区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " 五险一金 餐饮补贴 年终奖金 定期体检 "
后端开发工程师（Python/go/PHP） 成都-高新区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " "
Python开发工程师 武汉-洪山区 "民营公司 " " 大专  3-4年" 0.8-1.3万/月 " 五险一金 员工旅游 年终奖金 绩效奖金 "
"Online Programmer (Python)" 成都 "外资（欧美） " " 本科  3-4年" 1.1-2万/月 " 五险一金 绩效奖金 专业培训 补充医疗保险 "
Python开发工程师 成都-武侯区 "民营公司 " " 本科  2年" 0.8-1.5万/月 " 周末双休 五险一金 弹性工作 通讯补贴 "
高级python开发 宁波 "外资（非欧美） " " 本科  2年" 0.9-1.6万/月 " 五险一金 朝九晚六 周末双休 弹性工作 "
Python开发工程师 南京 "上市公司 " " 本科  1年" 1-2万/月 " 五险一金 交通补贴 餐饮补贴 专业培训 "
Python后端开发工程师 苏州-工业园区 "民营公司 " " 本科  3-4年" 16-30万/年 " 五险一金 年终奖金 弹性工作 带薪年假 "
Python软件工程师 西安-国家民用航天产业基地 "民营公司 " " 本科  2年" 1.1-2万/月 " 五险一金 补充医疗保险 员工旅游 通讯补贴 "
Python开发工程师（双休） 南京-江宁区 "民营公司 " " 本科  1年" 1-1.6万/月 " 五险一金 交通补贴 提供午餐 通讯补贴 "
YX02-Python开发工程师 昆明-官渡区 "民营公司 " " 本科  3-4年" 0.8-1.2万/月 " 周末双休 带薪年假 定期体检 五险一金 "
Python开发工程师 昆明-官渡区 "民营公司 " " 大专  2年" 0.8-1.6万/月 " 五险一金 周末双休 年终奖金 绩效奖金 "
Python开发工程师 西安-雁塔区 "民营公司 " " 本科  3-4年" 1-1.7万/月 " 五险一金 补充医疗保险 餐饮补贴 通讯补贴 "
Python开发工程师 厦门 "创业公司 " " 本科  2年" 1.2-1.8万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
Python开发工程师 南京-江宁区 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 周末双休 节日福利 带薪年假 "
平台软件工程师（C/C++/python） 南京 "民营公司 " " 本科  2年" 1.2-2.2万/月 " 五险一金 免费班车 年终奖金 定期体检 "
Python开发工程师（武汉） 武汉 "民营公司 " " 大专  2年" 0.7-1.2万/月 " 员工旅游 年终奖金 绩效奖金 股票期权 "
Python开发工程师 武汉-洪山区 "国企 " " 本科  3-4年" 1.2-2万/月 " 五险一金 补充医疗保险 员工旅游 专业培训 "
Python开发工程师 西安-国家民用航天产业基地 "民营公司 " " 本科  2年" 0.8-1.5万/月 " 年终奖金 社会保险 节日福利 带薪年假 "
Python开发工程师 苏州-工业园区 "上市公司 " " 本科  1年" 0.8-1.3万/月 " 弹性工作 无加班 周末双休 团队年轻 "
Python后端工程师 苏州-相城区 "创业公司 " " 本科  2年" 0.8-1.5万/月 " 项目奖金 五险 定期团建 大牛带队 "
Python开发工程师 福州 "合资 " " 本科  3-4年" 1.3-2.1万/月 " 五险一金 补充医疗保险 员工旅游 交通补贴 "
Web后台开发工程师（Python） 西安-西咸新区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 带薪年假 弹性工作 免费班车 "
Python中级开发工程师 福州-闽侯县 "民营公司 " " 本科  2年" 0.8-1.5万/月 " 五险一金 年终奖金 餐饮补贴 绩效奖金 "
Python开发工程师 昆明-呈贡区 "民营公司 " " 本科  1年" 0.9-1.3万/月 " 周末双休 弹性工作 五险一金 绩效奖金 "
Python开发工程师 长沙-岳麓区 "民营公司 " " 本科  1年" 0.9-1.2万/月 " 周末双休 带薪年假 五险一金 全勤奖 "
Python开发工程师 长春-净月经济开发区 "国企 " " 本科  3-4年" 1-2万/月 " 五险一金 餐饮补贴 周末双休 "
"Automation Developer （Python）" 天津-南开区 "外资（欧美） " " 本科  3-4年" 1-1.5万/月 " 五险一金 餐饮补贴 弹性工作 补充医疗保险 "
